vendorId, tpepPickupDatetime, tpepDropoffDatetime, passengerCount, tripDistance, ratecodeId, storeAndFwdFlag, puLocationId, doLocationId, paymentType, fareAmount, extra, mtaTax, tipAmount, tollsAmount, improvementSurcharge, totalAmount, congestionSurcharge, airportFee
1, 2024-01-01T00:26:17Z, 2024-01-01T00:35:19Z, 1, 3.3, 1, N, 263, 168, 1, 15.6, 3.5, 0.5, 1.0, 0.0, 1.0, 21.6, 2.5, 0.0
2, 2024-01-01T00:41:52Z, 2024-01-01T01:04:52Z, 1, 2.41, 1, N, 170, 236, 2, 20.5, 1.0, 0.5, 0.0, 0.0, 1.0, 25.5, 2.5, 0.0
1, 2024-01-01T00:34:40Z, 2024-01-01T00:55:26Z, 1, 4.4, 1, N, 162, 112, 1, 24.0, 3.5, 0.5, 4.0, 0.0, 1.0, 33.0, 2.5, 0.0
2, 2024-01-01T00:45:03Z, 2024-01-01T00:50:08Z, 1, 0.71, 1, N, 137, 233, 1, 6.5, 1.0, 0.5, 2.3, 0.0, 1.0, 13.8, 2.5, 0.0
2, 2024-01-01T00:53:14Z, 2024-01-01T01:20:50Z, 1, 4.78, 1, N, 170, 151, 1, 27.5, 1.0, 0.5, 6.5, 0.0, 1.0, 39.0, 2.5, 0.0
2, 2024-01-01T00:36:24Z, 2024-01-01T01:05:38Z, 1, 9.59, 1, N, 132, 177, 2, 42.9, 1.0, 0.5, 0.0, 0.0, 1.0, 47.15, 0.0, 1.75
2, 2024-01-01T00:45:51Z, 2024-01-01T01:07:45Z, 2, 2.3, 1, N, 246, 233, 1, 19.8, 1.0, 0.5, 3.9, 0.0, 1.0, 28.7, 2.5, 0.0
1, 2024-01-01T00:35:56Z, 2024-01-01T00:56:40Z, 2, 2.6, 1, Y, 239, 162, 2, 17.0, 3.5, 0.5, 0.0, 0.0, 1.0, 22.0, 2.5, 0.0
2, 2024-01-01T00:07:38Z, 2024-01-01T00:20:55Z, 2, 2.2, 1, N, 148, 234, 1, 14.2, 1.0, 0.5, 3.84, 0.0, 1.0, 23.04, 2.5, 0.0
2, 2024-01-01T00:28:48Z, 2024-01-01T01:08:54Z, 4, 7.46, 1, N, 107, 48, 1, 40.1, 1.0, 0.5, 13.53, 0.0, 1.0, 58.63, 2.5, 0.0
1, 2024-01-01T00:23:24Z, 2024-01-01T00:27:47Z, 1, 0.7, 1, N, 144, 114, 1, 5.8, 3.5, 0.5, 2.15, 0.0, 1.0, 12.95, 2.5, 0.0
1, 2024-01-01T00:23:47Z, 2024-01-01T00:26:59Z, 3, 0.7, 1, N, 68, 246, 2, 5.8, 3.5, 0.5, 0.0, 0.0, 1.0, 10.8, 2.5, 0.0
1, 2024-01-01T00:47:21Z, 2024-01-01T00:52:02Z, 2, 0.5, 1, N, 90, 164, 2, 6.5, 3.5, 0.5, 0.0, 0.0, 1.0, 11.5, 2.5, 0.0
2, 2024-01-01T00:53:20Z, 2024-01-01T00:58:15Z, 1, 0.78, 1, N, 142, 50, 1, 7.2, 1.0, 0.5, 2.44, 0.0, 1.0, 14.64, 2.5, 0.0
2, 2024-01-01T00:21:57Z, 2024-01-01T00:44:21Z, 1, 1.26, 1, N, 161, 234, 1, 19.1, 1.0, 0.5, 1.0, 0.0, 1.0, 25.1, 2.5, 0.0
2, 2024-01-01T00:53:15Z, 2024-01-01T01:29:31Z, 1, 8.7, 1, N, 234, 42, 1, 44.3, 1.0, 0.5, 12.32, 0.0, 1.0, 61.62, 2.5, 0.0
2, 2024-01-01T00:44:17Z, 2024-01-01T01:08:30Z, 3, 1.43, 1, N, 161, 107, 1, 20.5, 1.0, 0.5, 7.65, 0.0, 1.0, 33.15, 2.5, 0.0
1, 2024-01-01T00:18:47Z, 2024-01-01T00:45:32Z, 1, 11.0, 1, N, 224, 127, 1, 46.4, 3.5, 0.5, 0.0, 0.0, 1.0, 51.4, 2.5, 0.0
2, 2024-01-01T00:03:26Z, 2024-01-01T00:07:35Z, 4, 0.65, 1, N, 144, 79, 1, 5.8, 1.0, 0.5, 2.16, 0.0, 1.0, 12.96, 2.5, 0.0
2, 2024-01-01T00:13:00Z, 2024-01-01T00:23:58Z, 1, 1.36, 1, N, 79, 164, 2, 11.4, 1.0, 0.5, 0.0, 0.0, 1.0, 16.4, 2.5, 0.0
1, 2024-01-01T00:08:05Z, 2024-01-01T00:17:35Z, 1, 2.2, 1, N, 142, 75, 1, 11.4, 3.5, 0.5, 4.1, 0.0, 1.0, 20.5, 2.5, 0.0
1, 2024-01-01T00:22:30Z, 2024-01-01T00:32:58Z, 1, 1.9, 1, N, 238, 141, 1, 12.1, 3.5, 0.5, 2.56, 0.0, 1.0, 19.66, 2.5, 0.0
1, 2024-01-01T00:46:45Z, 2024-01-01T01:16:46Z, 1, 5.6, 1, N, 142, 79, 1, 30.3, 3.5, 0.5, 7.05, 0.0, 1.0, 42.35, 2.5, 0.0
2, 2024-01-01T00:49:42Z, 2024-01-01T01:16:53Z, 2, 3.21, 1, N, 249, 162, 1, 24.0, 1.0, 0.5, 5.8, 0.0, 1.0, 34.8, 2.5, 0.0
2, 2024-01-01T00:32:29Z, 2024-01-01T01:04:22Z, 1, 2.94, 1, N, 162, 144, 1, 26.8, 1.0, 0.5, 6.36, 0.0, 1.0, 38.16, 2.5, 0.0
2, 2024-01-01T00:34:41Z, 2024-01-01T00:40:18Z, 1, 0.61, 1, N, 186, 68, 1, 6.5, 1.0, 0.5, 2.3, 0.0, 1.0, 13.8, 2.5, 0.0
2, 2024-01-01T00:30:47Z, 2024-01-01T00:40:43Z, 3, 1.27, 1, N, 170, 237, 2, 10.7, 1.0, 0.5, 0.0, 0.0, 1.0, 15.7, 2.5, 0.0
2, 2024-01-01T00:49:22Z, 2024-01-01T00:56:38Z, 2, 1.03, 1, N, 161, 237, 1, 8.6, 1.0, 0.5, 3.0, 0.0, 1.0, 16.6, 2.5, 0.0
2, 2024-01-01T00:57:58Z, 2024-01-01T01:09:59Z, 2, 1.66, 1, N, 237, 161, 1, 13.5, 1.0, 0.5, 5.55, 0.0, 1.0, 24.05, 2.5, 0.0
2, 2024-01-01T00:36:13Z, 2024-01-01T00:54:15Z, 1, 2.0, 1, N, 114, 170, 2, 17.0, 1.0, 0.5, 0.0, 0.0, 1.0, 22.0, 2.5, 0.0
1, 2024-01-01T00:30:34Z, 2024-01-01T00:51:34Z, 2, 4.4, 1, N, 234, 263, 1, 22.6, 3.5, 0.5, 2.0, 0.0, 1.0, 29.6, 2.5, 0.0
2, 2024-01-01T00:17:21Z, 2024-01-01T00:38:00Z, 1, 2.46, 1, N, 142, 262, 1, 19.1, 1.0, 0.5, 2.41, 0.0, 1.0, 26.51, 2.5, 0.0
2, 2024-01-01T00:44:48Z, 2024-01-01T01:12:54Z, 5, 2.71, 1, N, 140, 48, 1, 24.7, 1.0, 0.5, 2.0, 0.0, 1.0, 31.7, 2.5, 0.0
1, 2024-01-01T00:29:46Z, 2024-01-01T00:38:04Z, 1, 0.6, 1, N, 249, 114, 1, 8.6, 3.5, 0.5, 2.7, 0.0, 1.0, 16.3, 2.5, 0.0
1, 2024-01-01T00:44:59Z, 2024-01-01T00:55:18Z, 2, 1.3, 1, N, 114, 4, 1, 10.7, 3.5, 0.5, 3.0, 0.0, 1.0, 18.7, 2.5, 0.0
